序号,行业名称,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
3,半导体,11095.1,1.98,930.05,870.03,0.006002,163,芯原股份,20.0,183.6
1,工业金属,3708.18,3.41,241.41,229.82,0.00116,58,电工合金,20.0,18.18
5,钢铁,1677.53,1.89,71.09,59.75,0.001134,43,八一钢铁,10.02,4.72
32,计算机设备,4202.39,0.09,184.96,173.74,0.001123,82,淳中科技,10.0,150.8
7,小金属,6588.03,1.67,183.44,174.48,0.0008960000000000001,26,兴业银锡,7.43,25.45
10,其他电子,15583.5,1.38,108.11,99.65,0.0008460000000000001,33,香农芯创,14.45,73.83
11,建筑装饰,4183.96,0.64,125.25,118.31,0.0006940000000000001,151,罗曼股份,10.01,53.87
4,房地产,1853.79,1.97,136.72,131.78,0.0004940000000000001,92,香江控股,10.11,1.96
46,塑料制品,9694.3,-0.19,83.66,79.07,0.000459,75,杭州高新,10.62,22.08
2,影视院线,1756.57,2.34,49.73,45.69,0.000404,20,幸福蓝海,12.36,29.1
9,医疗服务,18601.6,1.42,113.87,110.49,0.000338,53,昭衍新药,9.99,37.86
8,贵金属,4089.14,1.59,73.97,71.35,0.000262,11,湖南白银,9.98,6.61
23,农化制品,4950.7,0.26,44.3,43.53,7.7e-05,60,阳煤化工,9.96,2.98
15,贸易,2909.55,0.47,9.42,8.92,5e-05,15,怡亚通,3.74,4.99
12,化学制药,7172.39,0.6,181.51,181.06,4.5e-05,157,苑东生物,11.84,59.15
16,能源金属,24692.3,0.46,67.88,67.48,4e-05,13,威领股份,6.18,12.71
27,化学纤维,3882.43,0.15,17.83,17.67,1.6e-05,28,宝丽迪,8.44,36.51
22,造纸,2201.5,0.28,20.54,20.4,1.4000000000000001e-05,23,青山纸业,10.0,4.18
41,燃气,1630.6,-0.11,7.14,7.3,-1.6e-05,28,国新能源,1.78,2.86
24,养殖业,3205.84,0.23,40.38,40.68,-3.1e-05,38,天域生物,9.99,10.79
66,橡胶制品,16007.0,-0.56,8.92,9.41,-4.9e-05,20,阳谷华泰,4.44,15.53
20,汽车服务及其他,1286.96,0.31,18.01,18.52,-5e-05,25,浩物股份,10.02,6.48
29,非金属材料,26454.5,0.11,13.11,13.73,-6.2e-05,13,力量钻石,8.2,32.99
21,机场航运,2161.49,0.31,19.53,20.18,-6.500000000000001e-05,13,海航控股,1.9,1.61
68,厨卫电器,7338.81,-0.58,2.11,3.1,-9.9e-05,9,亿田智能,0.71,52.52
60,农产品加工,4558.65,-0.45,27.65,28.98,-0.000133,43,傲农生物,4.77,5.49
19,军工电子,11919.7,0.32,82.23,83.62,-0.000139,62,金信诺,12.01,16.13
42,公路铁路运输,1428.51,-0.15,15.65,17.11,-0.000146,32,海汽集团,4.08,21.71
26,电机,3660.77,0.16,86.23,87.7,-0.000147,25,卧龙电驱,10.01,46.15
76,环保设备,1201.59,-0.72,8.24,9.91,-0.000167,29,久吾高科,3.62,36.88
72,油气开采及服务,1381.06,-0.62,17.89,19.62,-0.000172,20,惠博普,3.68,3.1
54,轨交设备,1140.14,-0.31,11.11,12.91,-0.00017900000000000001,30,必得科技,10.0,45.43
6,黑色家电,4346.24,1.83,18.94,20.97,-0.00020299999999999997,9,兆驰股份,9.93,6.53
80,教育,5018.36,-0.87,11.24,13.34,-0.00021,17,华图山鼎,3.38,71.9
28,港口航运,1142.56,0.14,33.92,36.17,-0.000225,36,招商轮船,3.46,8.37
13,金属新材料,13857.5,0.54,47.09,49.66,-0.00025699999999999996,32,银河磁体,4.8,32.29
74,小家电,5032.13,-0.69,10.03,12.75,-0.000272,25,富佳股份,4.94,19.11
18,生物制品,7179.8,0.4,47.55,50.42,-0.00028700000000000004,54,诺诚健华,12.16,29.89
38,医药商业,4861.12,-0.04,15.85,18.81,-0.000295,31,塞力医疗,10.01,31.31
62,纺织制造,2267.6,-0.48,10.92,14.02,-0.00031099999999999997,32,华孚时尚,10.06,5.58
49,服装家纺,2936.73,-0.22,34.09,37.34,-0.00032599999999999996,76,美邦服饰,10.11,2.94
39,种植业与林业,4210.68,-0.09,13.85,17.32,-0.00034700000000000003,30,众兴菌业,10.03,10.09
14,煤炭开采加工,2371.18,0.53,26.68,30.27,-0.000359,33,晋控煤业,3.46,13.16
59,其他社会服务,20389.0,-0.43,11.38,15.84,-0.000446,70,国义招标,8.61,15.9
78,互联网电商,8314.45,-0.78,12.12,16.6,-0.00044800000000000005,19,ST通葡,4.86,3.45
36,文化传媒,2944.76,-0.03,104.21,109.58,-0.000537,85,吉视传媒,8.32,6.25
53,风电设备,4558.64,-0.31,32.87,38.57,-0.000571,29,电气风电,8.13,20.08
73,自动化设备,25996.9,-0.68,180.71,186.69,-0.000598,91,荣旗科技,9.53,64.46
79,美容护理,5947.39,-0.86,13.14,19.56,-0.000641,32,洁雅股份,3.47,33.68
65,石油加工贸易,3303.47,-0.55,13.83,20.55,-0.0006730000000000001,28,岳阳兴长,2.54,17.39
34,旅游及酒店,3564.92,0.03,37.04,43.79,-0.000675,34,三峡旅游,10.03,7.02
51,多元金融,1215.2,-0.3,35.28,42.11,-0.000683,27,南华期货,2.55,22.09
43,化学原料,3088.44,-0.15,33.88,40.81,-0.0006929999999999999,60,振华股份,5.65,18.71
33,物流,5851.79,0.03,24.29,31.27,-0.000699,50,炬申股份,9.99,18.39
37,电子化学品,49823.2,-0.04,61.69,69.47,-0.000779,42,唯特偶,8.01,33.16
52,中药,3604.36,-0.31,37.53,45.83,-0.000831,70,万邦德,4.15,10.3
56,包装印刷,4409.6,-0.37,23.6,32.03,-0.000843,46,沪江材料,7.53,24.28
69,工程机械,3266.22,-0.59,25.57,34.46,-0.000889,36,恒立钻具,2.72,44.6
44,建筑材料,5381.86,-0.18,51.88,61.26,-0.0009390000000000001,71,友邦吊顶,10.02,21.19
47,环境治理,4050.29,-0.21,57.33,67.4,-0.001007,113,东珠生态,9.96,11.15
84,家居用品,4247.88,-1.09,23.77,34.17,-0.001041,97,德力股份,5.03,7.72
45,医疗器械,12581.8,-0.18,72.48,83.37,-0.0010890000000000001,132,浩欧博,13.31,166.0
83,食品加工制造,5436.07,-1.05,21.23,33.66,-0.001243,66,金字火腿,4.05,7.96
30,综合,2348.23,0.09,27.05,40.01,-0.001296,19,粤桂股份,10.01,15.38
